index,x,y,z,
200,0.54380477,-0.49067787,-0.00065041,
201,0.59149752,-0.49942521,-0.00029850,
202,0.63708931,-0.48648957,0.00079250,
203,0.68717625,-0.49022869,0.00117207,
204,0.73827171,-0.49817447,0.00162220,
205,0.79536481,-0.49635486,0.00141239,
206,0.83146756,-0.49943594,0.00099850,
207,0.87594786,-0.49959187,0.00100994,
208,0.91051233,-0.50131968,0.00235367,
209,0.93454777,-0.50525669,0.00395203,
210,0.97775253,-0.52108864,0.00677586,
211,1.00635654,-0.52800182,0.00954533,
212,1.04503612,-0.53877334,0.01059723,
213,1.06236580,-0.54760126,0.01085854,
214,1.08937718,-0.55688242,0.01177692,
215,1.12720607,-0.54883293,0.01458359,
216,1.15325329,-0.55584220,0.01840496,
217,1.18164845,-0.57126550,0.02316856,
218,1.21179312,-0.58231024,0.02665138,
219,1.23147648,-0.60757308,0.03089333,
220,1.27063479,-0.59287052,0.03534603,
221,1.29865658,-0.59471683,0.03944683,
222,1.32541191,-0.60109667,0.04096413,
223,1.35540733,-0.61452918,0.03850651,
224,1.39009483,-0.62900572,0.03588390,
225,1.44720224,-0.64379268,0.03209400,
226,1.44720224,-0.64379268,0.03209400,
227,1.47849514,-0.64335518,0.03035831,
228,1.52424143,-0.62694912,0.02890968,
229,1.56161734,-0.63212733,0.02795124,
230,1.59722894,-0.61797790,0.02540779,
231,1.63784161,-0.61685710,0.02088356,
232,1.68213547,-0.61628751,0.01702881,
233,1.74324116,-0.62764792,0.01487255,
234,1.78148204,-0.63462906,0.01217651,
235,1.82081584,-0.62245683,0.01018238,
236,1.85755230,-0.63982372,0.00704670,
237,1.88893842,-0.64265399,0.00448513,
238,1.92081019,-0.62114219,-0.00036144,
239,1.96132487,-0.61738186,-0.00403214,
240,1.99062650,-0.60674242,-0.00488758,
241,2.03173888,-0.58012442,-0.00558281,
242,2.06636868,-0.56391362,-0.00618935,
243,2.10963589,-0.54491214,-0.00839424,
244,2.14593438,-0.54225544,-0.01084328,
245,2.18344784,-0.51606850,-0.01115036,
246,2.22645494,-0.49588279,-0.00863457,
247,2.25538558,-0.48676804,-0.00900841,
248,2.29053871,-0.47881297,-0.00761223,
249,2.32756366,-0.47746662,-0.00390816,
250,2.36238490,-0.46413759,-0.00040817,
251,2.40760334,-0.44975379,0.00236511,
252,2.45288733,-0.43545917,0.00505543,
253,2.49040771,-0.41760996,0.00756168,
254,2.51942894,-0.38382724,0.00828838,
255,2.56297773,-0.37161162,0.00767612,
256,2.61542214,-0.33606412,0.00923538,
257,2.65172467,-0.32898238,0.00880337,
258,2.68177182,-0.30723288,0.00772572,
259,2.72082976,-0.28938057,0.00734520,
260,2.76657509,-0.27291467,0.00844097,
261,2.81687398,-0.25636603,0.00902462,
262,2.84830539,-0.24211289,0.00828838,
263,2.90237463,-0.23801686,0.00756931,
264,2.94520816,-0.22369839,0.00735474,
265,2.98208361,-0.19963004,0.00705719,
266,3.02667881,-0.19378830,0.00727844,
267,3.05884216,-0.16358544,0.00896168,
268,3.09421414,-0.13664461,0.01388359,
269,3.13318099,-0.10443950,0.01707172,
270,3.16855488,-0.07659603,0.01380444,
271,3.20665817,-0.04406095,0.00788593,
272,3.24339939,-0.00964332,0.00389862,
273,3.26786278,-0.00149989,0.00090027,
274,3.29928130,0.03414655,-0.00095654,
275,3.32915201,0.06030012,-0.00190163,
276,3.36429058,0.07293249,-0.00269222,
277,3.42669466,0.13371016,-0.00292110,
278,3.42669466,0.13371016,-0.00292110,
279,3.47032427,0.14690472,-0.00349140,
280,3.50453801,0.17167546,-0.00547218,
281,3.55378070,0.17966153,-0.00732803,
282,3.58508597,0.20812108,-0.00846004,
283,3.61575206,0.22141864,-0.01157761,
284,3.65168504,0.23752620,-0.01258087,
285,3.71349142,0.25469710,-0.01115513,
286,3.77664867,0.28989532,-0.00561523,
287,3.81909810,0.30766084,0.00248241,
288,3.87231677,0.32848671,0.00672531,
289,3.92910133,0.36815765,0.00774193,
290,3.99420204,0.40428999,0.00750542,
291,4.05166621,0.44729737,0.00444698,
292,4.09749199,0.47940901,-0.00026035,
293,4.13783845,0.49736098,-0.00510311,
294,4.18763342,0.52182273,-0.00754452,
295,4.23894641,0.54754953,-0.00662804,
296,4.28106669,0.57724885,-0.00334167,
297,4.31758653,0.60442953,0.00201225,
298,4.34517533,0.63284903,0.00898266,
299,4.41616604,0.67480307,0.02156925,
300,4.41616604,0.67480307,0.02156925,
301,4.45741586,0.70360404,0.02627277,
302,4.50833175,0.73321944,0.03026199,
303,4.57212092,0.76923638,0.03135014,
304,4.72162242,0.84295112,0.03105545,
305,4.72162242,0.84295112,0.03105545,
306,4.80631872,0.88198740,0.02826309,
307,4.90123216,0.92400439,0.02293682,
308,4.99373988,0.96129258,0.01708031,
309,5.11144745,1.02268251,0.01142883,
310,5.20319993,1.05923971,0.00751972,
311,5.30521029,1.10281690,0.00526524,
312,5.40561316,1.12466558,0.00515747,
313,5.48089618,1.14999422,0.00805187,
314,5.55500071,1.18981394,0.01416779,
315,5.61389346,1.20708498,0.01994991,
316,5.66554310,1.23460135,0.02560806,
317,5.72209776,1.26346860,0.03132057,
318,5.77509843,1.27389798,0.03733158,
319,5.83094580,1.29221711,0.04070187,
320,5.89390392,1.30009875,0.04074574,
321,5.94290167,1.33153568,0.03997707,
322,6.02311840,1.35002981,0.03877544,
323,6.07976422,1.36114250,0.03480339,
324,6.16256418,1.37508856,0.03028584,
325,6.24474553,1.38286720,0.02690315,
326,6.34408234,1.38377796,0.02562904,
327,6.45210396,1.38893448,0.02349281,
328,6.53151843,1.39759098,0.02123356,
329,6.61183455,1.41294323,0.01501656,
330,6.66801927,1.41397320,0.00690174,
331,6.71439848,1.39491115,0.00226879,
332,6.73649696,1.37508474,0.00304508,
333,6.77168551,1.37880407,0.00658989,
334,6.78753617,1.36650691,0.01178551,
335,6.80671825,1.35266147,0.01725674,
336,6.81445622,1.33809791,0.02085781,
337,6.81299256,1.32029996,0.02201843,
338,6.79957520,1.30205045,0.02100468,
339,6.78650853,1.27645144,0.01866817,
340,6.74151545,1.24012026,0.01316071,
341,6.69774071,1.20532879,0.00856113,
342,6.66125279,1.16561970,0.00544262,
343,6.60628181,1.13741621,0.00311184,
344,6.53192725,1.11408361,0.00295639,
345,6.44816913,1.05951293,0.00402927,
346,6.37395811,1.02250369,0.00584507,
347,6.29118972,0.99054796,0.00723457,
348,6.22715589,0.95307333,0.00589371,
349,6.14264425,0.91213161,0.00336170,
350,6.04678584,0.87753660,0.00018215,
351,5.95455124,0.83583957,-0.00159454,
352,5.86349427,0.77754146,-0.00229359,
353,5.75335203,0.74429303,-0.00244141,
354,5.65448419,0.67607717,-0.00100613,
355,5.53161066,0.62871914,-0.00020218,
356,5.42779945,0.58337859,0.00128937,
357,5.34208906,0.55168513,0.00461578,
358,5.25277893,0.52382020,0.00773716,
359,5.15253721,0.47666911,0.00935555,
360,5.05641805,0.42545584,0.00822067,
361,4.97361191,0.39021328,0.00714493,
362,4.88399029,0.35143545,0.00570679,
363,4.78304583,0.29986980,0.00374699,
364,4.69465390,0.27356460,0.00105286,
365,4.59607232,0.24752928,-0.00312614,
366,4.48202933,0.19287993,-0.00880623,
367,4.38027370,0.15821148,-0.01288414,
368,4.26109276,0.12396646,-0.01566029,
369,4.15422783,0.09691978,-0.01560116,
370,4.04754778,0.04690385,-0.01205063,
371,3.94463307,0.01340365,-0.00763702,
372,3.85865095,-0.01068998,-0.00569439,
373,3.76155340,-0.04606987,-0.00607586,
374,3.66403362,-0.07086397,-0.00778580,
375,3.57683830,-0.09755159,-0.00939083,
376,3.50801000,-0.11032749,-0.01067448,
377,3.43199508,-0.14039303,-0.01271915,
378,3.36340927,-0.15219237,-0.01418018,
379,3.29188900,-0.16973711,-0.01478672,
380,3.21314871,-0.18794180,-0.01445007,
381,3.13973658,-0.20233418,-0.01242065,
382,3.05172658,-0.22332169,-0.01233959,
383,2.95106849,-0.25367477,-0.01319313,
384,2.82616276,-0.28366115,-0.01456833,
385,2.70423702,-0.31857994,-0.01523495,
